Name,Boiling point,
"Sodium chloride (NaCl)","1465",
"Potassium chloride (KCl)","1420",
"Calcium chloride (CaCl2)","1935",
"Sodium sulfate (Na2SO4)","1565",
"Potassium sulfate (K2SO4)","1689",
"Ammonium chloride (NH4Cl)","338 (sublimes)",
"Ammonium sulfate ((NH4)2SO4)","280 (decomposes)",
"Sodium nitrate (NaNO3)","380 (decomposes)",
"Potassium nitrate (KNO3)","400 (decomposes)",
"Aluminum sulfate (Al2(SO4)3)","770 (decomposes)",
"Ammonium nitrate (NH4NO3)","210 (decomposes)",
"Potassium bromide (KBr)","1435",
"Sodium bromide (NaBr)","1390",
"Sodium hexametaphosphate ((NaPO3)6)","1500",
"Potassium chlorate (KClO3)","400 (decomposes)",
"Sodium perchlorate (NaClO4)","480 (decomposes)",
"Sodium dichromate (Na2Cr2O7)","400 (decomposes)",
"Sodium Borate (Na2B4O7)","1575 (decomposes)",
"Sodium nitrite (NaNO2)","320 (decomposes)",
