Name,Temperature,Density,
Glucose (C6H12O6),25,1.544,
Fructose (C6H12O6),25,1.600,
Galactose (C6H12O6),20,1.500,
Sucrose (table sugar) (C12H22O11),25,1.590,
Lactose (milk sugar) (C12H22O11),25,1.530,
Maltose (C12H22O11),25,1.540,
Ribose (C5H10O5),25,1.190,
Deoxyribose (C5H10O4),25,1.059,
Mannose (C6H12O6),25,1.540,
Xylose (C5H10O5),20,1.525,
Arabinose (C5H10O5),25,1.190,
Raffinose (C18H32O16),25,1.465,
Maltotriose (C18H32O16),25,1.440,
Trehalose (C12H22O11),24,1.580,
Lactulose (C12H22O11),25,1.320,
Fucose (C6H12O5),25,1.174,
Rhamnose (C6H12O5),25,1.306,
Mannitol (C6H14O6),20,1.489,
Sorbitol (C6H14O6),25,1.470,
Xylitol (C5H12O5),25,1.150,
Ribitol (C5H12O5),25,1.150,
Galactitol (C6H14O6),20,1.470,
Cellobiose (C12H22O11),25,1.415,
Melezitose (C18H32O16),25,1.556,
Glucosamine (C6H13NO5),25,1.377,
Acarbose (C25H43NO18),25,1.428,
