Liquid,Freezing point,
Acetaldehyde,-123,
Acetic acid,16.65,
Acetic anhydride,-73,
Acetone,-95.5,
Acetonitrile,-45,
Acetophenone,20,
Acrylic acid,13.5,
Aniline,-6,
p-Anisaldehyde,0,
Anisole,-37,
Benzaldehyde,-26,
Benzene,5.5,
Benzoyl chloride,-1,
Benzyl alcohol,-15,
Benzyl chloride,-43,
Bromine,-7.1,
Bromobenzene,-30.9,
Butanoic acid,-5.7,
1-Butanol,-89.3,
Butanone,-86,
Butyl acetate,-78,
tert-Butyl alcohol,25.7,
Butyl stearate,27,
Butyric acid,-5.7,
Carbon tetrachloride,-23,
Chlorobenzene,-45.6,
Chloroform,-63.3,
Cyclohexane,6.67,
Cyclohexanol,25,
Cyclohexanone,-31,
Cyclohexene,-103.5,
Cyclopentane,-93.9,
Decane,-29.7,
Dichloromethane,-95,
Diethanolamine,28,
Diethyl ether,-116.3,
Diethyl phthalate,-40.5,
Diethylene glycol,-8.1,
Dimethyl carbonate,3,
Dimethylformamide,-61,
Dodecane,-9.6,
Dodecanol,24,
Ethanol,-114,
Ethyl acetate,-83.6,
Ethylbenzene,-95,
Ethylene glycol,-13,
Ethylene oxide,-112.2,
Formamide,2.5,
Formic acid,8.3,
Furan,-85.6,
Furfural,-36.5,
Glycerol,18,
Heptane,-90.6,
Hexadecane,18,
Hexane,-95,
Hydrazine,2,
Hydrogen fluoride,-83.2,
Isoamyl alcohol,-117.2,
Isopentane,-160,
Isoprene,-146,
Isopropyl alcohol,-88,
Lactic acid,17,
Limonene,-74.3,
Methanesulfonic acid,20,
Methanol,-97.7,
Methyl acetate,-98,
Methyl benzoate,-12.4,
Methyl salicylate,-8.6,
Nitric acid,-42,
Nitrobenzene,6,
Octane,-56.8,
Oleic acid,13.4,
Pentane,-129.8,
Phosphoric acid,42.4,
Phosphorus trichloride,-112.2,
Propanoic acid,-20.7,
Propylene carbonate,-48.8,
Propylene glycol,-60,
Pyridine,-41.7,
Styrene,-30,
Sulfolane,27.5,
Sulfuric acid,10,
Tetradecane,5.9,
Toluene,-95,
Triethanolamine,21.6,
Triethylene glycol,-7,
Valeric acid,-34.2,
m-Xylene,-48,
o-Xylene,-25,
p-Xylene,13.3,
Water,0,
