Name,Class,Melting point,
,Borides,1650,
,Borides,2070,
,Borides,2270,
,Borides,1160,
,Borides,1970,
,Borides,2070,
,Borides,2235,
,Borides,2550,
,Borides,1900,
Chromium monoboride (CrB),Borides,2100,
Cobalt boride (CoB),Borides,1460,
,Borides,3250,
Hafnium boride (HfB),Borides,2900,
,Borides,1390,
,Borides,2715,
,Borides,2210,
,Borides,2100,
,Borides,3050,
,Borides,1950,
,Borides,2450,
,Borides,2500,
Titanium boride (TiB),Borides,2060,
,Borides,2740,
Tungsten boride (WB),Borides,2800,
,Borides,2430,
,Borides,1500,
,Borides,2680,
,Carbides,2100,
,Carbides,2130,
,Carbides,1895,
Diamond (C),Carbides,3550,
Graphite (C),Carbides,3650,
Molybdenum carbide (MoC),Carbides,2577,
,Carbides,3080,
Niobium carbide (NbC),Carbides,3610,
Silicon carbide (SiC),Carbides,2730,
Tantalum carbide (TaC),Carbides,3880,
Thorium carbide (ThC),Carbides,2500,
Tungsten carbide (WC),Carbides,2785,
,Carbides,2800,
Uranium carbide (UC),Carbides,2370,
Vanadium carbide (VC),Carbides,2810,
Zirconium carbide (ZrC),Carbides,3530,
Aluminum nitride (AlN),Nitrides,2230,
,Nitrides,2200,
Chromium nitride (CrN),Nitrides,1770,
Hafnium nitride (HfN),Nitrides,3310,
Molybdenum nitride (MoN),Nitrides,1750,
Niobium nitride (NbN),Nitrides,2575,
,Nitrides,1900,
Tantalum nitride (TaN),Nitrides,3090,
,Nitrides,1750,
Titanium nitride (TiN),Nitrides,2950,
Vanadium nitride (VN),Nitrides,2050,
Zirconium nitride (ZrN),Nitrides,2950,
,Silicides,1770,
,Silicides,1870,
,Silicides,2200,
,Silicides,2500,
,Silicides,1850,
,Silicides,1500,
,Silicides,2160,
,Silicides,2320,
,Silicides,1665,
,Silicides,1700,
,Silicides,1935,
,Silicides,1620,
,Oxides,2050,
Calcium oxide (CaO),Oxides,2610,
,Oxides,2400,
,Oxides,2435,
,Oxides,2410,
,Oxides,2350,
,Oxides,2420,
,Oxides,2800,
,Oxides,2315,
Magnesium oxide (MgO),Oxides,2850,
,Oxides,1510,
,Oxides,2335,
,Oxides,1710,
,Oxides,1875,
,Oxides,3350,
Titanium monoxide (TiO),Oxides,1750,
,Oxides,1840,
,Oxides,1780,
,Oxides,2850,
,Oxides,2440,
,Oxides,2710,
