Semiconductor,Crystal structure,Type,Melting point,
a-Sn,Diamond,IV-IV,232,
AgBr,Sphalerite,I-VII,432,
AgI,Sphalerite,I-VII,558,
AgI,Wurtzite,I-VII,558,
,Wurtzite,,1127,
,Wurtzite,,977,
AlAs,Sphalerite,III-V,1740,
AlP,Sphalerite,III-V,1827,
AlSb,Sphalerite,III-V,1057,
BAs,Sphalerite,III-V,2027,
BN,Sphalerite,III-V,3030,
BP,Sphalerite,III-V,2530,
C,Diamond,IV-IV,3577,
CdS,Sphalerite,II-VI,1477,
CdS,Wurtzite,II-VI,1750,
CdSe,Sphalerite,II-VI,1239,
CdSe,Wurtzite,II-VI,1239,
CdTe,Sphalerite,II-VI,1092,
CuBr,Sphalerite,I-VII,497,
CuCl,Sphalerite,I-VII,422,
Cul,Sphalerite,I-VII,605,
,Sphalerite,,790,
GaAs,Sphalerite,III-V,1237,
GaN,Wurtzite,III-V,1230,
GaP,Sphalerite,III-V,1477,
GaSb,Sphalerite,III-V,712,
Ge,Diamond,IV-IV,938,
HgS,Sphalerite,II-VI,1547,
HgSe,Sphalerite,II-VI,797,
HgTe,Sphalerite,II-VI,670,
,Sphalerite,III-V,667,
InAs,Sphalerite,III-V,942,
InN,Wurtzite,III-V,927,
InP,Sphalerite,III-V,1057,
InSb,Sphalerite,III-V,525,
,Antifluorite,,1115,
,Antifluorite,,1102,
,Antifluorite,,778,
PbS,Halite,II-VI,1117,
PbSe,Halite,II-VI,1067,
PbTe,Halite,II-VI,907,
Si,Diamond,IV-IV,1414,
SiC,Sphalerite,IV-IV,2797,
Te,y-Se,VI-VI,450,
ZnO,Wurtzite,II-VI,1975,
ZnO,Sphalerite,II-VI,1975,
ZnS,Sphalerite,II-VI,1850,
ZnS,Wurtzite,II-VI,1850,
ZnSe,Sphalerite,II-VI,1515,
,Sphalerite,,777,
,Sphalerite,,927,
ZnTe,Sphalerite,II-VI,1295,
