Name,Temperature,Refractive index (n,
"Acetylene (C2H2)","20","1.00061",
"Propyne (C3H4)","-40","1.3863",
"1-Butyne (C4H6)","20","1.3962",
"1-Pentyne (C5H8)","25","1.3822",
"1-Hexyne (C6H10)","25","1.3957",
"1-Heptyne (C7H12)","25","1.4060",
"1-Octyne (C8H14)","25","1.4138",
"1-Nonyne (C9H16)","25","1.4195",
"1-Decyne (C10H18)","25","1.4249",
"1-Undecyne (C11H20)","25","1.4292",
"1-Dodecyne (C12H22)","25","1.4328",
"1-Tridecyne (C13H24)","25","1.4359",
"1-Tetradecyne (C14H26)","25","1.4387",
"1-Pentadecyne (C15H28)","25","1.4410",
"1-Hexadecyne (C16H30)","25","1.4430",
"1-Heptadecyne (C17H32)","25","1.4410",
"1-Octadecyne (C18H34)","25","1.4774",
"1-Nonadecyne (C19H36)","20","1.4488",
"1-Eicosyne (C20H38)","20","1.4501",
"1-Heneicosyne (C21H40)","25","1.4542",
"1-Docosyne (C22H42)","25","1.4566",
"1-Tricosyne (C23H44)","25","1.4590",
"1-Tetracosyne (C24H46)","25","1.4613",
"1-Pentacosyne (C25H48)","25","1.4633",
"1-Hexacosyne (C26H50)","25","1.4653",
"1-Heptacosyne (C27H52)","25","1.4673",
"1-Octacosyne (C28H54)","25","1.4692",
"1-Nonacosyne (C29H56)","25","1.4710",
"1-Triacontyne (C30H58)","25","1.4728",
"1-Hentriacontyne (C31H60)","25","1.4747",
"1-Dotriacontyne (C32H62)","25","1.4763",
"1-Tritriacontyne (C33H64)","25","1.4779",
"1-Tetratriacontyne (C34H66)","25","1.4793",
"1-Pentatriacontyne (C35H68)","25","1.4810",
"1-Hexatriacontyne (C36H70)","25","1.4824",
"1-Heptatriacontyne (C37H72)","25","1.4838",
"1-Octatriacontyne (C38H74)","25","1.4853",
"1-Nonatriacontyne (C39H76)","25","1.4865",
"1-Tetracontyne (C40H78)","25","1.4880",
