Metal,Specific heat capacity,
l),897,
Antimony (Sb),207,
Barium (Ba),204,
Beryllium (Be),1825,
Bismuth (Bi),122,
Cadmium (Cd),231,
Calcium (Ca),647,
Cerium (Ce),192,
Cesium (Cs),242,
Chromium (Cr),449,
Cobalt (Co),421,
Copper (Cu),385,
Dysprosium (Dy),173,
Erbium (Er),168,
Europium (Eu),182,
Gadolinium (Gd),235,
Gallium (Ga),373,
Gold (Au),129,
Hafnium (Hf),144,
Holmium (Ho),165,
Indium (In),233,
Iridium (Ir),131,
Iron (Fe),449,
Lanthanum (La),195,
Lead (Pb),130,
Lithium (Li),3582,
Lutetium (Lu),154,
Magnesium (Mg),1023,
Manganese (Mn),479,
Mercury (Hg),140,
Molybdenum (Mo),251,
Neodymium (Nd),190,
Nickel (Ni),444,
Niobium (Nb),265,
Osmium (Os),130,
Palladium (Pd),244,
Platinum (Pt),133,
Potassium (K),757,
Praseodymium (Pr),193,
Promethium (Pm),190,
Rhenium (Re),137,
Rhodium (Rh),243,
Rubidium (Rb),363,
Ruthenium (Ru),238,
Samarium (Sm),196,
Scandium (Sc),568,
Silver (Ag),235,
Sodium (Na),1228,
Strontium (Sr),306,
Tantalum (Ta),140,
Terbium (Tb),182,
Thallium (Tl),129,
Thorium (Th),118,
Thulium (Tm),160,
Tin (Sn),227,
Titanium (Ti),524,
Tungsten (W),132,
Uranium (U),116,
Vanadium (V),489,
Ytterbium (Yb),155,
Yttrium (Y),298,
Zinc (Zn),388,
Zirconium (Zr),278,
