Material,Thermal conductivity,
"Andesite","0.6 - 1.26",
"Basalt","0.92 - 2.6",
"Concrete (1-4 dry)","0.75",
"Concrete (cinder)","0.34",
"Concrete (lightweight)","0.21",
"Concrete (stone; 1-2-4 mix)","1.46",
"Conglomerate","2.09",
"Diabase","1.17",
"Dolomite","2.93 - 5.0",
"Gneiss","2.1 - 3.4",
"Granite","2.51 - 3.97",
"Limestone (hard)","1.67 - 2.15",
"Limestone (soft)","0.84 - 3.38",
"Marble","2.51 - 3.72",
"Plaster (molded, dry)","0.43",
"Quartzite","2.92 - 8.04",
"Sand (dry)","0.27 - 0.34",
"Sandstone (hard)","4.2 - 4.6",
"Sandstone (medium)","1.30 - 4.18",
"Sandstone (soft)","1.0 - 1.30",
"Schist","0.58 - 3.26",
"Slate","0.9 - 3.3",
