Trade name,UNS number,Composition,Conductivity,
"Pure magnesium","","99.97","156",
"AM100A F","M10100","Mg-9.5Al-0.3Zn","73",
"AM60A F","M10600","Mg-6Al-0.5Si-0.35Cu","62",
"AM60B F","M10603","Mg-6Al-0.25Mn","62",
"AS41A F","M10410","Mg-4Al-1Si-0.35Mn","68",
"AS41XB F","","Mg-4Al-1Si-0.35Mn","68",
"AZ10A","M11100","Mg-1.5Al-0.5Zn","110",
"AZ31B T1","M11312","Mg-3Al-1Zn","84",
"AZ61A F","M11610","Mg-6Al-1Zn","79",
"AZ63 T1","M11630","Mg-6Al-3Zn-0.3Si","77",
"AZ80A T4","M11800","Mg-8Al-0.5Zn","84",
"AZ81A T1","M11810","Mg-8Al-0.5Zn","79",
"AZ91A F","M11910","Mg-9Al-1Zn-0.1Mn","72",
"AZ91C T6","M11914","Mg-9Al-1Zn-0.1Mn","72",
"AZ92A T6","M11920","Mg-9Al-2Zn-0.3Si","72",
"EQ21 T6","M16330","Mg-1.5Ag-2Re","113",
"EZ33A T5","M12330","Mg-3Re-2.5Zn-0.6Zr","100",
"HK31A T6","M13310","Mg-3Th-0.6Zr-0.3Zn","92",
"HK31A H24","M13310","Mg-3Th-1Zr","105",
"HM21A T8","M13210","Mg-2Th-0.5Mn","134 - 138",
"HM31A O","M13312","Mg-3Th-1.2Mn","104",
"HZ32A T5","M13320","Mg-2Zn-3Th-1Zr","110",
"K1A F","M18010","Mg-0.5Zr","122",
"M1A","M15100","Mg-1Mn-0.3Cr","138",
"QE22A T6","M18220","Mg-2.5Ag-2Re-0.6Zr","113",
"QH21A T6","","Mg-2.5Ag-1Re-1Th-0.7Zr","113",
"WE43 T6","M18430","Mg-4Y-3.4Re-0.6Zr","51",
"WE54 T6","M18410","Mg-5.1Y-3Re-0.6Zr","52",
"ZC63 T6","M16631","Mg-5.5Zn-2.5Cu-0.5Mn","122",
"ZC71 T6","M16710","Mg-6.5Zn-1Cu-0.8Mn","122",
"ZE41A T5","M16410","Mg-4.5Zn-1.5Re","113",
"ZE63A T6","M16630","Mg-6Zn-2.5Re","109",
"ZH62A T5","M16620","Mg-5.5Zn-2Th-0.65Zr","110",
"ZK21A","M16210","Mg-2.3Zn-0.65Zr","125",
"ZK40A T5","M16400","Mg-4Zn-0.45Zr","117",
"ZK51A T5","M16510","Mg-4.5Zn-0.45Zr","110",
"ZK60A T5","M16600","Mg-5.5Zn-0.45Zr","117",
"ZK61A T6","M16610","Mg-6Zn-0.8Zr","117",
"ZW10 T1","","Mg-1.3Zn-0.6Zr","134",
