Aluminum alloy,Conductivity,
1050-O,230,
1060-O,234,
1100-O,222,
1100-H18,170,
1199-H18,234,
2011-T3,150,
2014-O,193,
2014-T6,154,
2017-O,193,
2017-T4,134,
2024-O,193,
2024-T6,151,
2219-O,171,
2219-T62,120,
3003-O,193,
3003-H12,163,
3004-O,163,
3105-O,172,
4032-O,154,
4032-T6,138,
4043-O,163,
5005-O,200,
5050-O,191,
5052-O,138,
5056-O,117,
5083-O,117,
5086-O,125,
5154-O,125,
5456-O,117,
6061-O,180,
6061-T6,167,
6063-O,218,
6063-T6,200,
6101-T6,218,
6151-O,205,
7075-T6,130,
7178-T6,125,
8081-H24,230,
8176-H24,230,
